Cast Vote Record	Precinct	Payson City Council 1st Choice Payson City Council	Payson City Council 2nd Choice Payson City Council	Payson City Council 3rd Choice Payson City Council	Payson City Council 4th Choice Payson City Council	Payson City Council 5th Choice Payson City Council
30310	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	undervote	overvote
30311	PA02	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	undervote	overvote
30312	PA01	CARY KENNETH STOCKWELL	overvote	undervote	undervote	undervote
30313	PA01	CARY KENNETH STOCKWELL	BRIAN V. HULET	undervote	undervote	undervote
30314	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30315	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30316	PA01	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote	undervote
30317	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30318	PA01	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote	undervote
30319	PA02	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
30320	PA02	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
30321	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30322	PA02	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
30323	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
30324	PA05	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET
30325	PA05	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET	BRIAN V. HULET
30326	PA06	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
30327	PA06	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
30328	PA06	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
30329	PA06	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM
30330	PA04	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote
30331	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30332	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
30333	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
30334	PA02	DOUG WELTON	undervote	undervote	undervote	undervote
30335	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
30336	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30337	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30338	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30339	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30340	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30341	PA02	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
30342	PA01	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
30343	PA06	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
30344	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30345	PA01	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
30346	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30347	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	undervote	undervote
30348	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30349	PA05	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
30350	PA03	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
30351	PA01	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
30352	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
30353	PA08	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
30354	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
