Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
31478	VI01	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31479	VI01	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER
31480	VI01	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER
31481	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31482	VI01	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31483	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31484	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
31485	VI01	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote	undervote
31486	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET
31487	VI01	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON
31488	VI01	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
31489	VI01S2	overvote	KEITH KUDER	undervote	undervote	undervote	undervote	undervote
31490	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31491	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote
31492	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
31493	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
31494	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
31495	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
31496	VI01	CRISTY WELSH	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS
31497	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
31498	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
31499	VI01S2	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
31500	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
31501	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS
31502	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
31503	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
31504	VI01	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
31505	VI01	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS
31506	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
31507	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
31508	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	KEITH KUDER
31509	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER
31510	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	undervote	undervote	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
31511	VI01	G. TYCE FLAKE	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
31512	VI01	G. TYCE FLAKE	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	undervote	undervote	undervote
31513	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31514	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	undervote	undervote	undervote	undervote
31515	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
31516	VI01	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
31517	VI01	CRISTY WELSH	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
31518	VI01	KEITH KUDER	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
31519	VI02	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
31520	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	overvote	undervote
31521	VI01	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
31522	VI01	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET
31523	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
31524	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON
31525	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
31526	VI01	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
31527	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE
31528	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
31529	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
31530	VI02	KEITH KUDER	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
31531	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
31532	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
31533	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS
31534	VI02	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
31535	VI01S	TAY GUDMUNDSON	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
31536	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
